Taxpayer_ID,Business_Name,Tax_Year,Tax_Type,Industry,City,Reported_Revenue,Reported_Deductions,Taxable_Income,Tax_Paid,Expected_Tax,Estimated_Tax_Gap,Number_of_Employees,Filing_Status,Previously_Audited,Prior_Audit_Result,Industry_Avg_Revenue,Revenue_Ratio,Compliance_Flag
MA-010001,Pioneer Real Estate Enterprise,2022,Income,Hospitality,Boston,418186.9,115130.28,303056.62,17596.11,20115.99,2519.88,4,On Time,No,N/A,350000,1.1948,Compliant
MA-010002,Summit Restaurant Partners,2024,Meals,Manufacturing,Chelsea,1812112.67,489514.96,1322597.71,92581.84,106510.57,13928.73,30,On Time,No,N/A,1500000,1.2081,Compliant
MA-010003,Colonial Auto Repair Partners,2022,Meals,Professional Services,Boston,443837.7,169931.46,273906.24,19173.44,24991.69,5818.25,4,On Time,No,N/A,500000,0.8877,Compliant
MA-010004,Colonial Auto Repair Holdings,2024,Income,Professional Services,Boston,804582.55,138875.76,665706.79,77615.05,66237.92,0.0,13,On Time,No,N/A,500000,1.6092,Compliant
MA-010005,Harbor Healthcare Inc,2024,Sales/Use,Healthcare,Chelsea,1009064.41,342492.14,666572.27,41660.77,43698.01,2037.24,15,On Time,No,N/A,1200000,0.8409,Compliant
MA-010006,Metro Restaurant Corp,2022,Corporate,Retail,Boston,514655.63,228100.81,286554.82,16138.98,20891.72,4752.73,4,On Time,No,N/A,600000,0.8578,Compliant
MA-010007,Metro Restaurant Co,2022,Sales/Use,Healthcare,Somerville,1256356.27,416484.3,839871.97,52492.0,60764.63,8272.63,6,Amended,No,N/A,1200000,1.047,Compliant
MA-010008,Valley Healthcare Ventures,2022,Meals,Construction,Brockton,288390.48,128995.85,159394.62,11157.62,14737.34,3579.72,1,On Time,No,N/A,800000,0.3605,Compliant
MA-010009,Pilgrim Real Estate Ventures,2024,Corporate,Retail,Lynn,295766.88,50213.4,245553.49,13902.11,16072.92,2170.81,6,On Time,No,N/A,600000,0.4929,Underpaid
MA-010010,Northern Real Estate Co,2023,Rooms Occupancy,Professional Services,Lowell,277666.48,67492.26,210174.22,12085.02,13909.97,1824.95,1,On Time,No,N/A,500000,0.5553,Underpaid
MA-010011,Federal Retail LLC,2025,Income,Restaurant,New Bedford,503078.72,200571.3,302507.43,30769.31,48573.18,17803.87,7,Late,No,N/A,450000,1.118,Underpaid
MA-010012,Valley Real Estate Associates,2024,Corporate,Professional Services,Springfield,535082.63,158320.93,376761.7,24812.78,27742.09,2929.31,1,On Time,Yes,Underpaid,500000,1.0702,Compliant
MA-010013,Central Hospitality Enterprise,2022,Meals,Restaurant,Fall River,217069.71,57092.8,159976.91,11198.38,21079.71,9881.32,5,On Time,No,N/A,450000,0.4824,Underpaid
MA-010014,Liberty Healthcare Co,2025,Income,Manufacturing,Fall River,574356.0,162691.86,411664.14,28793.83,45283.96,16490.13,13,On Time,No,N/A,1500000,0.3829,Underpaid
MA-010015,Commonwealth Professional Services Solutions,2025,Meals,Healthcare,Worcester,523379.34,150997.03,372382.31,26066.76,53318.79,27252.03,10,On Time,No,N/A,1200000,0.4361,Suspicious
MA-010016,Patriot Hospitality Ventures,2023,Meals,Construction,Somerville,611509.76,263125.35,348384.41,24386.91,30689.68,6302.77,17,On Time,No,N/A,800000,0.7644,Compliant
MA-010017,Federal Professional Services Ventures,2025,Income,Restaurant,Boston,467973.63,101368.42,366605.21,29907.27,28508.42,0.0,1,On Time,Yes,Compliant,450000,1.0399,Compliant
MA-010018,Patriot Real Estate Corp,2024,Special Fuels,Construction,Boston,525216.59,181193.53,344023.06,82565.54,173777.11,91211.57,6,On Time,Yes,Underpaid,800000,0.6565,Suspicious
MA-010019,Beacon Construction Enterprise,2025,Income,Manufacturing,New Bedford,410255.08,88080.3,322174.78,19480.74,64219.0,44738.26,10,On Time,No,N/A,1500000,0.2735,Suspicious
MA-010020,Valley Auto Repair Ventures,2022,Income,Construction,Fall River,406475.57,68630.21,337845.36,36679.24,32697.67,0.0,6,On Time,No,N/A,800000,0.5081,Compliant
MA-010021,Colonial Retail Services,2024,Sales/Use,Professional Services,Chelsea,637396.46,131427.44,505969.02,31623.06,28337.47,0.0,8,On Time,No,N/A,500000,1.2748,Compliant
MA-010022,Harbor Auto Repair Ventures,2022,Corporate,Retail,Somerville,570344.86,149425.06,420919.8,43065.21,45952.53,2887.31,5,Amended,Yes,Compliant,600000,0.9506,Compliant
MA-010023,Pilgrim Restaurant Ventures,2024,Sales/Use,Professional Services,Boston,241197.95,48849.03,192348.92,12021.81,10146.45,0.0,1,On Time,No,N/A,500000,0.4824,Compliant
MA-010024,Patriot Restaurant Co,2022,Meals,Professional Services,Lowell,408469.82,66638.54,341831.28,23928.19,23651.82,0.0,10,Late,Yes,Underpaid,500000,0.8169,Compliant
MA-010025,Metro Hospitality Corp,2024,Corporate,Construction,Somerville,890169.03,342049.65,548119.38,60625.23,78272.62,17647.39,2,Late,Yes,Compliant,800000,1.1127,Compliant
MA-010026,Pioneer Professional Services Services,2025,Rooms Occupancy,Hospitality,New Bedford,388793.76,166128.91,222664.86,12803.23,16684.68,3881.45,2,Not Filed,No,N/A,350000,1.1108,Compliant
MA-010027,Southern Real Estate Associates,2023,Sales/Use,Professional Services,Boston,371646.76,88709.1,282937.66,17683.6,17981.62,298.02,7,On Time,No,N/A,500000,0.7433,Compliant
MA-010028,Coastal Real Estate Inc,2024,Corporate,Restaurant,Springfield,633674.77,275250.14,358424.63,19803.99,24137.67,4333.67,12,Not Filed,No,N/A,450000,1.4082,Compliant
MA-010029,Northern Construction Co,2023,Special Fuels,Manufacturing,Lowell,1040009.46,229632.65,810376.81,194490.43,186942.45,0.0,11,On Time,No,N/A,1500000,0.6933,Compliant
MA-010030,Northern Restaurant Corp,2025,Income,Auto Repair,Boston,240576.03,74299.01,166277.02,12946.72,18677.65,5730.92,9,On Time,No,N/A,300000,0.8019,Underpaid
MA-010031,Beacon Hospitality Solutions,2025,Corporate,Restaurant,New Bedford,287832.17,61702.91,226129.27,20991.9,24964.51,3972.62,3,On Time,No,N/A,450000,0.6396,Underpaid
MA-010032,Bay State Retail Associates,2023,Income,Retail,Boston,385623.27,155659.29,229963.98,16642.76,21393.4,4750.64,1,On Time,Yes,Compliant,600000,0.6427,Compliant
MA-010033,Cape Real Estate Inc,2023,Sales/Use,Hospitality,Brockton,434121.88,83205.13,350916.75,21932.3,19352.42,0.0,12,On Time,Yes,Compliant,350000,1.2403,Compliant
MA-010034,Atlantic Real Estate Inc,2022,Sales/Use,Retail,Fall River,0.0,0.0,0.0,0.0,27261.81,27261.81,12,Not Filed,No,N/A,600000,0.0,Non-Filer
MA-010035,Metro Restaurant Co,2022,Special Fuels,Manufacturing,Boston,1618347.82,645261.36,973086.46,233540.75,298408.12,64867.37,17,On Time,No,N/A,1500000,1.0789,Compliant
MA-010036,Valley Construction Corp,2022,Corporate,Manufacturing,Boston,1623884.66,698954.63,924930.03,60844.6,73026.05,12181.45,28,On Time,No,N/A,1500000,1.0826,Compliant
MA-010037,Coastal Manufacturing Group,2024,Income,Retail,Boston,568731.81,194674.75,374057.06,34198.76,39776.43,5577.66,15,On Time,No,N/A,600000,0.9479,Compliant
MA-010038,Atlantic Construction Group,2022,Corporate,Healthcare,Quincy,73207.69,16793.61,56414.08,3653.18,7245.1,3591.91,6,On Time,No,N/A,1200000,0.061,Suspicious
MA-010039,Southern Restaurant Partners,2024,Corporate,Restaurant,Quincy,311094.59,88992.73,222101.86,21811.06,37214.84,15403.78,4,On Time,No,N/A,450000,0.6913,Underpaid
MA-010040,Atlantic Manufacturing Inc,2024,Income,Construction,Worcester,819146.75,309800.89,509345.86,43828.5,59014.28,15185.78,1,Not Filed,No,N/A,800000,1.0239,Compliant
MA-010041,Metro Manufacturing Enterprise,2022,Income,Restaurant,Springfield,156577.13,68706.95,87870.19,9943.54,32436.66,22493.12,6,Not Filed,No,N/A,450000,0.3479,Suspicious
MA-010042,Harbor Healthcare Ventures,2025,Income,Professional Services,Boston,734617.83,196857.49,537760.34,44099.65,50371.22,6271.57,6,Amended,No,N/A,500000,1.4692,Compliant
MA-010043,Metro Auto Repair Partners,2025,Sales/Use,Restaurant,Worcester,223296.42,92609.23,130687.2,8167.95,14474.18,6306.23,1,On Time,No,N/A,450000,0.4962,Underpaid
MA-010044,Cape Real Estate Inc,2023,Sales/Use,Retail,Springfield,783413.67,297165.44,486248.23,30390.51,38863.1,8472.59,11,On Time,No,N/A,600000,1.3057,Compliant
MA-010045,Patriot Auto Repair Associates,2025,Special Fuels,Professional Services,Boston,422404.92,159031.04,263373.88,63209.73,78680.93,15471.2,7,Late,No,N/A,500000,0.8448,Compliant
MA-010046,Valley Construction Solutions,2024,Income,Construction,Boston,861718.73,165393.38,696325.35,80213.76,75100.14,0.0,15,On Time,No,N/A,800000,1.0771,Compliant
MA-010047,Pioneer Real Estate Partners,2025,Sales/Use,Healthcare,Brockton,874749.06,218137.82,656611.24,41038.2,47572.04,6533.84,9,On Time,No,N/A,1200000,0.729,Compliant
MA-010048,Harbor Hospitality Solutions,2022,Rooms Occupancy,Retail,Quincy,0.0,0.0,0.0,0.0,20836.61,20836.61,1,Not Filed,No,N/A,600000,0.0,Non-Filer
